"gene","id","snp","ref_count","total_count","alt_count"
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801612",0,3,3
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801618",0,3,3
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801623",0,3,3
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801631",0,3,3
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801632",0,6,6
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801655",0,6,6
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801662",0,7,7
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801670",0,7,7
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801674",0,8,8
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801692",0,6,6
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801697",0,5,5
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802008",3,9,6
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802012",3,10,7
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802087",4,11,7
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810113",1,1,0
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810147",1,1,0
"CENPN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810148",1,1,0
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5818789",49,83,34
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5819958",49,89,40
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820004",66,127,61
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820217",35,68,33
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820250",52,85,33
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820298",68,100,32
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820417",43,76,33
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820421",46,77,31
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820448",41,71,30
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820457",39,70,31
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820510",45,77,32
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820673",36,75,39
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820754",35,72,37
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820820",48,90,42
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820865",53,89,36
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820889",49,84,35
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820891",49,86,37
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820997",53,101,48
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821063",43,81,38
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821132",50,89,39
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821645",63,110,47
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825066",45,75,30
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825106",48,83,35
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825122",35,74,39
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825178",48,86,38
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825194",40,83,43
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825195",39,81,42
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825220",30,73,43
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825240",36,75,39
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825303",45,78,33
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825304",45,79,34
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825310",46,83,37
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825406",27,54,27
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825415",27,51,24
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825438",25,45,20
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825485",32,52,20
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825524",35,58,23
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825557",26,52,26
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825571",26,51,25
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825579",26,54,28
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825590",25,52,27
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825689",37,70,33
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825703",44,86,42
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825787",36,76,40
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825833",41,76,35
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825841",42,79,37
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825895",57,88,31
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825984",33,75,42
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826162",40,70,30
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826194",40,69,29
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826235",41,75,34
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826245",38,76,38
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826335",23,56,33
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826417",33,64,31
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826431",32,61,29
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826438",33,62,29
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826463",35,91,56
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826502",38,84,46
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826511",46,98,52
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826659",43,76,33
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826701",46,89,43
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826702",44,87,43
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826732",42,85,43
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826745",38,83,45
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826835",29,66,37
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5826942",35,69,34
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5827193",45,99,54
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5827196",43,98,55
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5827269",45,89,44
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5827315",36,75,39
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5827316",35,75,40
"ATMIN","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5827333",35,75,40
"PKD1L2","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5867660",1,1,0
"PKD1L2","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5867675",2,2,0
"PKD1L2","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5867843",2,2,0
"BCO1","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5917912",0,1,1
"BCO1","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5917941",0,1,1
"BCO1","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5917971",0,1,1
"BCO1","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5925669",0,2,2
"BCO1","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5926937",1,2,1
"BCO1","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5927921",2,3,1
"BCO1","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5927948",1,2,1
"BCO1","s1319_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5927968",1,3,2
