"gene","id","snp","ref_count","total_count","alt_count"
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801612",0,1,1
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801618",0,1,1
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801623",0,1,1
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801631",0,1,1
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801632",0,1,1
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801655",0,2,2
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801662",0,2,2
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801670",0,2,2
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801674",0,2,2
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801692",0,3,3
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801697",0,3,3
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802008",2,7,5
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802012",1,7,6
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802087",2,11,9
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810113",2,2,0
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810147",2,2,0
"CENPN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810148",2,2,0
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5818789",30,59,29
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5819958",33,64,31
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820004",35,71,36
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820217",42,73,31
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820250",31,62,31
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820298",27,58,31
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820417",30,55,25
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820421",31,56,25
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820448",28,52,24
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820457",25,52,27
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820510",29,61,32
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820673",25,51,26
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820754",21,50,29
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820820",34,67,33
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820865",39,71,32
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820889",42,74,32
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820891",42,75,33
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820997",46,68,22
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821063",38,68,30
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821132",43,74,31
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821645",59,93,34
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825066",38,63,25
"ATMIN","s1647_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825106",38,65,27
