"gene","id","snp","ref_count","total_count","alt_count"
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801655",0,1,1
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801670",1,2,1
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801674",1,2,1
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801692",1,2,1
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802008",0,3,3
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802012",0,3,3
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802087",1,7,6
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810113",2,2,0
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810147",1,1,0
"CENPN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810148",1,1,0
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5818789",37,58,21
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5819958",40,69,29
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820004",34,72,38
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820217",39,70,31
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820250",53,79,26
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820298",45,71,26
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820417",36,62,26
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820421",32,58,26
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820448",40,72,32
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820457",39,72,33
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820510",50,76,26
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820673",40,69,29
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820754",44,66,22
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820820",55,91,36
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820865",52,97,45
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820889",47,83,36
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820891",47,85,38
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820997",53,90,37
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821063",52,79,27
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821132",57,106,49
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821645",52,105,53
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825066",43,83,40
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825106",35,78,43
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825122",35,74,39
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825178",40,73,33
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825194",42,74,32
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825195",42,74,32
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825220",32,61,29
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825240",28,52,24
"ATMIN","s1680_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5825303",42,74,32
