"gene","id","snp","ref_count","total_count","alt_count"
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801612",0,1,1
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801618",0,1,1
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801623",0,1,1
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801631",0,1,1
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801632",0,2,2
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801655",1,3,2
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801670",1,3,2
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801674",1,3,2
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801692",1,3,2
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802008",3,10,7
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802012",3,10,7
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802087",2,10,8
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810113",1,1,0
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810147",1,1,0
"CENPN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810148",1,1,0
"ATMIN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5818789",25,50,25
"ATMIN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5819958",24,47,23
"ATMIN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820004",24,56,32
"ATMIN","s1324_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820217",18,47,29
